City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,15.99,81,5,9.39,PT,1679951548
1,qandala,11.472,49.8728,29.03,69,96,3.08,SO,1679951550
2,hilo,19.7297,-155.09,27.93,86,75,4.02,US,1679951421
3,busselton,-33.65,115.3333,11.69,89,0,4.32,AU,1679951550
4,aranos,-24.1333,19.1167,24.63,46,87,5.43,NA,1679951551
5,turhal,40.3875,36.0811,12.37,47,9,2.43,TR,1679951551
6,butaritari,3.0707,172.7902,27.67,75,72,7.07,KI,1679951551
7,provideniya,64.3833,-173.3,-13.94,66,20,9.0,RU,1679951552
8,ushuaia,-54.8,-68.3,1.81,93,100,5.14,AR,1679951552
9,kaitangata,-46.2817,169.8464,7.09,77,91,5.94,NZ,1679951552
10,fortuna,40.5982,-124.1573,11.31,44,100,4.92,US,1679951556
11,hermanus,-34.4187,19.2345,16.56,69,15,3.91,ZA,1679951557
12,bhatkal,13.9667,74.5667,24.19,74,99,3.05,IN,1679951558
13,rikitea,-23.1203,-134.9692,26.69,78,78,7.39,PF,1679951558
14,korla,41.7597,86.1469,10.76,27,1,2.63,CN,1679951558
15,klaksvik,62.2266,-6.589,-0.49,65,93,4.66,FO,1679951559
16,te anau,-45.4167,167.7167,4.81,88,52,2.32,NZ,1679951559
17,albany,42.6001,-73.9662,10.37,43,100,2.16,US,1679951262
18,victoria,22.2855,114.1577,17.96,91,100,4.47,HK,1679951552
19,waipawa,-41.4122,175.5153,16.57,63,51,4.26,NZ,1679951560
20,aripuana,-9.1667,-60.6333,24.07,96,100,0.36,BR,1679951560
21,deputatskiy,69.3,139.9,-21.28,100,92,1.75,RU,1679951560
22,lima,-12.0432,-77.0282,25.14,69,40,6.17,PE,1679951316
23,atuona,-9.8,-139.0333,27.0,74,100,5.23,PF,1679951560
24,ocos,14.5094,-92.1933,32.1,64,2,5.42,GT,1679951560
25,airai,-8.9266,125.4092,14.8,94,100,0.96,TL,1679951561
26,esperance,-33.8667,121.9,15.45,66,21,3.99,AU,1679951469
27,bud,39.447,-86.1758,7.41,86,100,3.78,US,1679951561
28,dhidhdhoo,6.8833,73.1,27.72,74,19,4.34,MV,1679951561
29,mataura,-46.1927,168.8643,5.59,90,86,2.11,NZ,1679951561
30,samarai,-10.6167,150.6667,28.23,74,46,5.12,PG,1679951561
31,kavieng,-2.5744,150.7967,27.72,72,24,2.55,PG,1679951562
32,brae,60.3964,-1.353,4.22,91,100,8.36,GB,1679951562
33,jamestown,42.097,-79.2353,6.12,95,100,0.0,US,1679951391
34,casa grande,32.8795,-111.7573,22.31,12,0,4.12,US,1679951562
35,sitka,57.0531,-135.33,6.94,49,0,0.0,US,1679951562
36,longyearbyen,78.2186,15.6401,-11.09,62,40,5.14,SJ,1679951563
37,barrow,71.2906,-156.7887,-8.99,79,100,6.69,US,1679951563
38,cabo san lucas,22.8909,-109.9124,27.25,39,75,3.09,MX,1679951319
39,grimshaw,56.1834,-117.6027,-4.07,69,96,3.55,CA,1679951563
40,bredasdorp,-34.5322,20.0403,15.97,72,24,1.97,ZA,1679951564
41,husavik,66.0449,-17.3389,-4.79,88,99,3.72,IS,1679951564
42,cape town,-33.9258,18.4232,20.77,54,3,3.08,ZA,1679951400
43,tuatapere,-46.1333,167.6833,7.16,77,94,5.11,NZ,1679951564
44,brus laguna,15.75,-84.4833,30.68,51,1,5.14,HN,1679951565
45,bambous virieux,-20.3428,57.7575,24.01,81,9,1.42,MU,1679951565
46,ponta delgada,37.7333,-25.6667,16.4,88,20,6.69,PT,1679951565
47,lebu,-37.6167,-73.65,14.93,71,38,2.3,CL,1679951565
48,cidreira,-30.1811,-50.2056,21.83,60,0,3.29,BR,1679951501
49,dikson,73.5069,80.5464,-26.72,100,99,3.28,RU,1679951566
50,iqaluit,63.7506,-68.5145,-9.61,85,100,1.34,CA,1679951566
51,tasiilaq,65.6145,-37.6368,-11.91,78,20,2.99,GL,1679951567
52,champerico,14.3,-91.9167,32.3,61,6,5.54,GT,1679951567
53,barstow,34.8986,-117.0228,14.53,14,9,6.67,US,1679951444
54,nuevo progreso,23.1667,-97.95,29.94,56,100,3.58,MX,1679951568
55,leningradskiy,69.3833,178.4167,-19.76,79,45,3.8,RU,1679951568
56,port elizabeth,-33.918,25.5701,17.28,84,100,1.79,ZA,1679951568
57,qaanaaq,77.484,-69.3632,-22.43,68,36,2.81,GL,1679951569
58,isangel,-19.55,169.2667,26.79,78,88,2.39,VU,1679951569
59,punta arenas,-53.15,-70.9167,5.06,70,75,4.63,CL,1679951569
60,nioro,13.35,-15.75,30.75,22,24,4.51,GM,1679951569
61,georgetown,5.4112,100.3354,25.96,83,20,1.03,MY,1679951570
62,dordrecht,51.81,4.6736,5.01,80,8,0.89,NL,1679951570
63,khatanga,71.9667,102.5,-34.3,100,100,2.36,RU,1679951570
64,los llanos de aridane,28.6585,-17.9182,19.86,49,0,2.57,ES,1679951570
65,zhukovka,53.534,33.728,2.15,82,94,2.54,RU,1679951571
66,norman wells,65.282,-126.8329,-1.46,86,100,2.02,CA,1679951571
67,port alfred,-33.5906,26.891,15.66,79,98,0.89,ZA,1679951571
68,faanui,-16.4833,-151.75,27.75,72,98,4.39,PF,1679951571
69,hasaki,35.7333,140.8333,9.56,63,100,8.55,JP,1679951571
70,hamilton,39.1834,-84.5333,12.07,68,75,7.2,US,1679951443
71,nikolskoye,59.7035,30.7861,-1.06,98,100,1.22,RU,1679951572
72,tire,38.0888,27.7351,14.41,63,33,2.95,TR,1679951572
73,yellowknife,62.456,-114.3525,-14.13,50,100,1.34,CA,1679951278
74,galveston,29.3669,-94.9669,25.98,84,100,4.63,US,1679951345
75,pizarro,4.9533,-77.366,28.19,70,96,3.74,CO,1679951572
76,thunder bay,48.4001,-89.3168,0.5,85,96,1.58,CA,1679951445
77,malkangiri,18.35,81.9,27.56,54,89,0.48,IN,1679951572
78,yulara,-25.2406,130.9889,20.27,78,53,4.12,AU,1679951567
79,pasighat,28.0667,95.3333,16.21,89,45,1.77,IN,1679951573
80,northam,51.0333,-4.2167,7.56,91,100,4.55,GB,1679951573
81,west plains,36.7281,-91.8524,13.14,56,0,4.12,US,1679951573
82,xai-xai,-25.0519,33.6442,22.7,58,100,6.38,MZ,1679951573
83,bluff,-46.6,168.3333,9.15,55,69,9.09,NZ,1679951559
84,north bend,43.4065,-124.2243,7.91,70,100,5.14,US,1679951573
85,itoman,26.1247,127.6694,17.01,82,99,6.17,JP,1679951574
86,kodiak,57.79,-152.4072,3.73,70,0,2.57,US,1679951574
87,teguldet,57.3064,88.1667,1.51,98,100,4.07,RU,1679951574
